frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
220,CAM-01,Primary Junction,2,6,0,0,8,2,0,9,2026-02-13T01:08:40
224,CAM-01,Primary Junction,3,6,0,0,9,3,0,9,2026-02-13T01:08:40
228,CAM-01,Primary Junction,3,6,0,0,9,3,0,9,2026-02-13T01:08:40
232,CAM-01,Primary Junction,3,6,0,0,9,3,0,9,2026-02-13T01:08:40
236,CAM-01,Primary Junction,2,4,0,0,6,2,0,9,2026-02-13T01:08:40
240,CAM-01,Primary Junction,2,6,0,0,8,2,0,9,2026-02-13T01:08:41
244,CAM-01,Primary Junction,2,5,0,0,7,2,0,9,2026-02-13T01:08:41
248,CAM-01,Primary Junction,3,3,0,0,6,3,0,9,2026-02-13T01:08:41
252,CAM-01,Primary Junction,2,6,0,0,8,2,0,9,2026-02-13T01:08:41
256,CAM-01,Primary Junction,1,6,0,0,7,1,0,9,2026-02-13T01:08:41
260,CAM-01,Primary Junction,1,6,0,0,7,1,0,9,2026-02-13T01:08:41
264,CAM-01,Primary Junction,1,5,0,0,6,1,0,9,2026-02-13T01:08:41
268,CAM-01,Primary Junction,1,5,0,0,6,1,0,9,2026-02-13T01:08:41
272,CAM-01,Primary Junction,1,5,0,0,6,1,0,9,2026-02-13T01:08:41
276,CAM-01,Primary Junction,2,4,0,0,6,2,0,9,2026-02-13T01:08:42
280,CAM-01,Primary Junction,2,4,0,0,6,2,0,9,2026-02-13T01:08:42
284,CAM-01,Primary Junction,2,5,0,0,7,2,0,9,2026-02-13T01:08:42
288,CAM-01,Primary Junction,2,4,0,0,6,2,0,9,2026-02-13T01:08:42
292,CAM-01,Primary Junction,3,3,0,0,6,3,0,9,2026-02-13T01:08:42
296,CAM-01,Primary Junction,2,3,0,0,5,2,0,9,2026-02-13T01:08:42
300,CAM-01,Primary Junction,2,4,0,0,6,2,0,9,2026-02-13T01:08:42
304,CAM-01,Primary Junction,2,5,0,0,7,2,0,9,2026-02-13T01:08:42
308,CAM-01,Primary Junction,2,3,0,0,5,2,0,9,2026-02-13T01:08:43
312,CAM-01,Primary Junction,2,2,0,0,4,2,0,9,2026-02-13T01:08:43
316,CAM-01,Primary Junction,4,2,0,0,6,4,0,9,2026-02-13T01:08:43
320,CAM-01,Primary Junction,3,4,0,0,7,3,0,9,2026-02-13T01:08:43
324,CAM-01,Primary Junction,2,4,0,0,6,2,0,9,2026-02-13T01:08:43
328,CAM-01,Primary Junction,3,5,0,0,8,3,0,9,2026-02-13T01:08:43
332,CAM-01,Primary Junction,4,6,0,0,10,4,0,9,2026-02-13T01:08:43
